commitment_id,commitment_theme,commitment_description,commitment_guidelines,commitment_examples
CP.1,coal power ,Does the bank prohibit dedicated financing for thermal coal power plants?,"The commitment covers explicit exclusions of project-specific financing for new coal power plants and expansion of existing coal power plants. 
- In scope: project finance, dedicated financing, direct loans, financing with a defined use of proceeds.
- Out of scope: general financing provided to clients where funds are not earmarked for specific projects, phase out of financing by a future date.","Examples of evidence that would satisfy this commitment: - ""The bank will not finance new projects for the construction of new thermal coal-fired power plants or for the expansion of an existing thermal coal-fired power plant."" - ""The bank does not provide financial products and services to new coal-fired power plant projects, as well as to brownfield retrofit coal-fired power plant projects."" - ""The bank will not assume any credit risk involving specific projects to build, develop or expand coal power plants.""
Examples of evidence that would NOT satisfy this commitment - ""The bank will not finance clients that generate revenues from thermal coal-fired power generation."" - ""The bank will not finance clients that are involved in thermal coal expansion."" - ""The bank will phase out financing for coal-fired power generation by 2030."""
CP.2,coal power ,Does the bank restrict general corporate purpose finance for companies with thermal coal power activities based on a relative threshold?,"This commitment covers explicit exclusions of corporate finance based on a percentage of revenues or power generation from coal power, and outright exclusions of clients with exposure to coal power.
- In scope: corporate loans, financing to clients, financing to customers, general purpose financing where funds are not earmarked for specific projects 
- Out of scope: project finance, dedicated financing, financing with defined use of proceeds, financing for companies expanding coal power capacity, phase out of financing by a future date.","Examples of evidence that would satisfy this commitment: - ""The bank will not provide financing to clients that derive more than 20% of annual revenue from thermal coal power generation."" - ""The bank excludes financing for companies with a coal share of power production above 10%."" - ""The bank excludes all companies listed on the Global Coal Exit List (GCEL).""
Examples of evidence that would NOT satisfy this commitment: - ""The bank excludes financing for companies with coal power capacity above 5GW."" - ""The bank will not finance clients involved in thermal coal expansion projects."" - ""The bank will phase out financing for coal-fired power generation by 2030."""
